id,title,year,p_painted,clip_proposed,band,final_label
985,"Eraserhead",1977,0.1398,photo,photo_hi,photo
1702,"Death Machine",1994,0.5461,painted,mid,painted
2151,"Man with the Screaming Brain",2005,0.8913,painted,painted_hi,painted
3127,"The Revenge of Frankenstein",1958,0.4106,photo,mid,painted
3164,"Frankenstein 1970",1958,0.185,photo,photo_hi,painted
3208,"I Was a Teenage Frankenstein",1957,0.814,painted,painted_hi,painted
6114,"Bram Stoker's Dracula",1992,0.0901,photo,photo_hi,painted
6552,"Idle Hands",1999,0.5424,painted,mid,photo
7340,"Carrie",1976,0.1784,photo,photo_hi,photo
7392,"Ilsa, Harem Keeper of the Oil Sheiks",1976,0.4292,photo,mid,painted
9100,"The Craft",1996,0.17,photo,photo_hi,photo
9374,"Death Becomes Her",1992,0.4001,photo,mid,photo
9552,"The Exorcist",1973,0.064,photo,photo_hi,photo
9680,"Uncle Sam",1996,0.4786,photo,mid,painted
10206,"Buffy the Vampire Slayer",1992,0.4035,photo,mid,photo
10285,"Jason Goes to Hell: The Final Friday",1993,0.4243,photo,mid,painted
10576,"Psycho II",1983,0.0726,photo,photo_hi,painted
10973,"Creature from the Black Lagoon",1954,0.4162,photo,mid,painted
11167,"Peeping Tom",1960,0.3917,photo,mid,painted
11495,"Firestarter",1984,0.2207,photo,photo_hi,photo
11868,"Dracula",1958,0.138,photo,photo_hi,painted
12724,"The Convent",2000,0.4647,photo,mid,composite
15516,"The Last House on the Left",1972,0.3631,photo,mid,painted
16139,"Phantasm III: Lord of the Dead",1994,0.1557,photo,photo_hi,painted
18983,"Godzilla, King of the Monsters!",1956,0.7937,painted,painted_hi,painted
20850,"Ilsa: She Wolf of the SS",1975,0.9066,painted,painted_hi,painted
22616,"Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Alien, Flesh Eating, Hellbound, Zombified Living Dead Part 2",1991,0.3617,photo,mid,photo
22642,"A Bucket of Blood",1959,0.4944,photo,mid,composite
22718,"Attack of the Giant Leeches",1959,0.2454,photo,photo_hi,painted
24452,"The Little Shop of Horrors",1960,0.5057,painted,mid,painted
24924,"Night of the Demons",1988,0.4576,photo,mid,painted
25750,"Children of the Corn IV: The Gathering",1996,0.4104,photo,mid,photo
26661,"Abbott and Costello Meet the Mummy",1955,0.8277,painted,painted_hi,painted
26857,"The Tingler",1959,0.2093,photo,photo_hi,photo
26865,"X the Unknown",1956,0.4665,photo,mid,painted
27285,"Rise of the Dead",2007,0.3877,photo,mid,photo
27623,"Not of This Earth",1957,0.4831,photo,mid,painted
27625,"It Conquered the World",1956,0.8487,painted,painted_hi,painted
27642,"Queen of Blood",1966,0.4413,photo,mid,painted
27654,"Camp Fear",1991,0.3774,photo,mid,painted
27720,"Mister Frost",1990,0.0657,photo,photo_hi,painted
27758,"Near Death",2004,0.1312,photo,photo_hi,composite
27916,"Redneck Zombies",1989,0.4582,photo,mid,photo
28082,"Witchcraft 8: Salem's Ghost",1996,0.4332,photo,mid,photo
28165,"The Toxic Avenger Part II",1989,0.8566,painted,painted_hi,painted
28338,"Evil Spawn",1987,0.5307,painted,mid,painted
28351,"Blonde Heaven",1995,0.5489,painted,mid,composite
28450,"The Rift",1990,0.7904,painted,painted_hi,painted
28533,"The Ghost",1963,0.4712,photo,mid,painted
28790,"Arcade",1993,0.5481,painted,mid,painted
29062,"Day the World Ended",1955,0.7143,painted,painted_hi,painted
29067,"Die, Monster, Die!",1965,0.4871,photo,mid,painted
29070,"Blood Bath",1966,0.454,photo,mid,painted
29103,"The Sadist",1963,0.1662,photo,photo_hi,painted
29166,"Deadly Inheritance",1968,0.4859,photo,mid,painted
29412,"The Phantom from 10,000 Leagues",1955,0.6017,painted,mid,painted
29430,"Little Big Boy",2010,0.4133,photo,mid,composite
30638,"Alias John Preston",1955,0.5105,painted,mid,painted
30754,"Nightmare in Blood",1978,0.3519,photo,mid,painted
30934,"Tower of Evil",1972,0.7203,painted,painted_hi,painted
31275,"The Creeping Terror",1964,0.0644,photo,photo_hi,painted
31634,"The Amazing Transparent Man",1960,0.3616,photo,mid,painted
31646,"Piranha II: The Spawning",1982,0.8402,painted,painted_hi,painted
32623,"Night of the Ghouls",1959,0.3902,photo,mid,composite
32998,"Necronomicon",1993,0.4999,photo,mid,painted
34337,"Deadly Encounter",1982,0.713,painted,painted_hi,painted
34593,"Monster on the Campus",1958,0.3715,photo,mid,painted
35721,"Live Feed",2006,0.4624,photo,mid,photo
36489,"Bride of the Monster",1955,0.4081,photo,mid,painted
36754,"The Snorkel",1958,0.4328,photo,mid,painted
37977,"The Black Cat",1989,0.1412,photo,photo_hi,painted
38120,"Zombies of Mora Tau",1957,0.3658,photo,mid,composite
38783,"Trilogy of Terror",1975,0.5513,painted,mid,painted
38939,"Tales from the Crypt",1972,0.4083,photo,mid,painted
39044,"The Curse of the Mummy's Tomb",1964,0.4367,photo,mid,painted
40059,"The Deadly Spawn",1983,0.3873,photo,mid,painted
40229,"The House on Sorority Row",1982,0.6137,painted,mid,painted
40351,"Sex Beyond the Grave",1984,0.3553,photo,mid,photo
41302,"Zontar: The Thing from Venus",1967,0.1103,photo,photo_hi,painted
41568,"Tales from the Crapper",2004,0.9745,painted,painted_hi,painted
42185,"Shark Attack",1999,0.3778,photo,mid,composite
42202,"Cyclone",1978,0.1072,photo,photo_hi,painted
42218,"Empire of the Ants",1977,0.7235,painted,painted_hi,painted
42709,"Silent Night, Deadly Night III: Better Watch Out!",1989,0.4862,photo,mid,photo
42998,"The Horrible Dr. Hichcock",1962,0.6065,painted,mid,painted
43120,"Missile to the Moon",1958,0.524,painted,mid,painted
43248,"The Brain from Planet Arous",1957,0.7165,painted,painted_hi,painted
44585,"Attack of the Puppet People",1958,0.3705,photo,mid,painted
44693,"The Astounding She-Monster",1957,0.6064,painted,mid,painted
46117,"Diary of a Serial Killer",2008,0.0466,photo,photo_hi,photo
46365,"An Erotic Vampire in Paris",2002,0.4343,photo,mid,composite
47553,"Twice-Told Tales",1963,0.4396,photo,mid,painted
49183,"The Vengeance of Fu Manchu",1967,0.062,photo,photo_hi,painted
49439,"Fear Chamber",1968,0.804,painted,painted_hi,painted
50110,"The Hand of Night",1968,0.7328,painted,painted_hi,painted
50466,"Countess Dracula's Orgy of Blood",2004,0.3587,photo,mid,photo
52204,"The Brain Eaters",1958,0.4861,photo,mid,painted
52639,"Blood of the Vampire",1958,0.4598,photo,mid,painted
53246,"Hideous!",1997,0.4391,photo,mid,painted
55152,"The Oblong Box",1969,0.4475,photo,mid,painted
56529,"The Violent Kind",2010,0.5996,painted,mid,photo
57949,"The Day Time Ended",1980,0.5207,painted,mid,painted
58802,"DarkPlace",2007,0.3976,photo,mid,composite
58965,"Huntress: Spirit of the Night",1995,0.3768,photo,mid,composite
62926,"The Vengeance of the Vampire Women",1970,0.8359,painted,painted_hi,painted
63007,"Naked Evil",1966,0.7304,painted,painted_hi,painted
63317,"Poor Pretty Eddie",1975,0.3725,photo,mid,painted
63749,"Swamp Shark",2011,0.5123,painted,mid,composite
64524,"Nightmare",1964,0.7254,painted,painted_hi,painted
69075,"Snakeman",2005,0.5039,painted,mid,painted
72071,"Pep Squad",1998,0.4057,photo,mid,composite
76681,"Wacko",1982,0.9377,painted,painted_hi,painted
77156,"The House of the Dead",1978,0.5781,painted,mid,painted
77173,"The Blood Beast Terror",1968,0.7661,painted,painted_hi,painted
78198,"Zombie Campout",2002,0.5005,painted,mid,photo
78218,"Blood Sisters",1987,0.1394,photo,photo_hi,painted
80633,"The Hands of Orlac",1960,0.4037,photo,mid,painted
81464,"Guru, the Mad Monk",1970,0.5947,painted,mid,composite
83363,"Offerings",1989,0.1676,photo,photo_hi,painted
83820,"Screams of a Winter Night",1979,0.0962,photo,photo_hi,painted
83822,"The Tower",1985,0.0596,photo,photo_hi,painted
84058,"From Hell It Came",1957,0.4509,photo,mid,painted
84960,"Thunder Kids 3: Hunt for the Devil Boxer",1989,0.7002,painted,painted_hi,painted
85150,"Blood Frenzy",1987,0.1234,photo,photo_hi,painted
85237,"The Vampire",1957,0.5309,painted,mid,painted
85611,"The Stranglers of Bombay",1959,0.5652,painted,mid,painted
86494,"Wicked, Wicked",1973,0.4357,photo,mid,painted
88380,"The Vampire Is Alive",1989,0.3818,photo,mid,painted
88559,"Haunted From Within",2004,0.1693,photo,photo_hi,composite
89662,"Curse of the Faceless Man",1958,0.4314,photo,mid,painted
89720,"Kiss of the Tarantula",1976,0.5514,painted,mid,painted
90030,"The Monster of Piedras Blancas",1959,0.6359,painted,mid,painted
90941,"Primal Rage",1988,0.6205,painted,mid,painted
91223,"Das Clown",1999,0.3828,photo,mid,painted
92320,"Garden of the Dead",1972,0.4263,photo,mid,painted
92707,"Mirror, Mirror III: The Voyeur",1995,0.2281,photo,photo_hi,composite
92720,"Mirror, Mirror IV: Reflection",2000,0.4286,photo,mid,painted
93929,"The Haunted House of Horror",1969,0.372,photo,mid,photo
94063,"Sin You Sinners",1963,0.4583,photo,mid,painted
95667,"Night of the Living Dead: Re-Animation",2012,0.4726,photo,mid,composite
98906,"Satan's Playground",2006,0.5144,painted,mid,photo
101748,"Woman Despiser",1967,0.4226,photo,mid,composite
104205,"Funny Man",1994,0.5345,painted,mid,painted
106137,"Strike of the Tortured Angels",1982,0.4706,photo,mid,photo
109157,"A Warning to the Curious",1972,0.0131,photo,photo_hi,photo
112529,"Monstrosity",1987,0.6224,painted,mid,photo
114003,"Jersey Shore Shark Attack",2012,0.4936,photo,mid,composite
114540,"Mutant Species",1995,0.072,photo,photo_hi,composite
114542,"Nurse Sherri",1978,0.4278,photo,mid,painted
116389,"The Snake Woman",1961,0.5347,painted,mid,painted
116605,"The Newlydeads",1987,0.7387,painted,painted_hi,composite
117429,"Jack the Ripper",1959,0.2455,photo,photo_hi,painted
119169,"Mama Dracula",1980,0.5895,painted,mid,painted
125773,"Scream Baby Scream",1969,0.2336,photo,photo_hi,composite
127606,"The Chanting 2",2007,0.0558,photo,photo_hi,photo
131358,"Sex Files: Alien Erotica",1998,0.5527,painted,mid,composite
131578,"World of the Depraved",1967,0.4393,photo,mid,photo
132346,"Terrified",1963,0.8233,painted,painted_hi,painted
133838,"Shadow of the Hawk",1976,0.5778,painted,mid,painted
135060,"The Turn of the Screw",1992,0.4773,photo,mid,painted
137688,"Beauty Queen Butcher",1991,0.803,painted,painted_hi,photo
142305,"The Body Stealers",1969,0.4034,photo,mid,painted
143095,"Salome",1973,0.3759,photo,mid,photo
143369,"The House in Nightmare Park",1973,0.8555,painted,painted_hi,painted
144662,"A Thief in the Night",1972,0.3961,photo,mid,painted
156094,"Blue Blood",1974,0.4174,photo,mid,composite
191806,"Shriek of Terror",1991,0.7094,painted,painted_hi,painted
194393,"The Disembodied",1957,0.8246,painted,painted_hi,painted
200535,"The Werewolf of Woodstock",1975,0.5969,painted,mid,photo
200872,"Zombie Cheerleader Camp",2007,0.7338,painted,painted_hi,photo
203013,"Witchcraft XII: In the Lair of the Serpent",2004,0.3683,photo,mid,photo
210599,"Killer Bees",1974,0.604,painted,mid,painted
211682,"Catholic Ghoulgirls",2005,0.3917,photo,mid,painted
214680,"Convergence",2000,0.0678,photo,photo_hi,painted
218809,"The Lumberjack of All Trades",2006,0.8409,painted,painted_hi,composite
249921,"Silent but Deadly",2012,0.5383,painted,mid,composite
255197,"Reel Zombies",2008,0.8069,painted,painted_hi,photo
256012,"Deadly Sunday",1982,0.1877,photo,photo_hi,painted
261264,"The Spaniard's Curse",1958,0.1771,photo,photo_hi,painted
263124,"And When She Was Bad...",1973,0.8725,painted,painted_hi,painted
270557,"Hellinger",1997,0.9185,painted,painted_hi,photo
271813,"Curse of the Stone Hand",1965,0.7807,painted,painted_hi,painted
275813,"Vapid Shallow Models Must Die",2006,0.3679,photo,mid,photo
277189,"The Los Angeles Ripper",2011,0.1288,photo,photo_hi,composite
278686,"Buried in the Sand: The Deception of America",2004,0.713,painted,painted_hi,photo
282812,"The Satanist",1968,0.6444,painted,mid,painted
287526,"Zombie Mutation",2012,0.5648,painted,mid,photo
297059,"Judge and Jury",1997,0.4322,photo,mid,photo
301122,"MP2V",2012,0.1089,photo,photo_hi,photo
303267,"90210 Shark Attack",2015,0.5012,painted,mid,painted
304897,"The Regenerated Man",1994,0.748,painted,painted_hi,photo
306747,"Dead Silence",1989,0.3805,photo,mid,composite
319324,"Dance of the Dead",2005,0.4062,photo,mid,photo
329237,"Gigantis: The Fire Monster",1959,0.1901,photo,photo_hi,painted
337937,"Master of Horror",1965,0.4861,photo,mid,painted
343495,"Creature of the Night",2006,0.39,photo,mid,photo
352881,"Tales of the Unknown",1990,0.535,painted,mid,photo
354326,"Savage Harvest 2: October Blood",2006,0.5734,painted,mid,composite
362844,"Survivor",1999,0.2151,photo,photo_hi,composite
383668,"The Legend of Blood Mountain",1965,0.3506,photo,mid,painted
388165,"Heaven Becomes Hell",1989,0.5281,painted,mid,painted
416228,"Deep Above",1994,0.9113,painted,painted_hi,painted
418835,"La zona del silencio",1990,0.702,painted,painted_hi,painted
437518,"Friend of the World",2020,0.5594,painted,mid,composite
443338,"Carnage Hall",1988,0.6022,painted,mid,painted
444109,"Bethany",2017,0.0613,photo,photo_hi,composite
444583,"The Only House in Town",1971,0.4236,photo,mid,painted
444679,"Dream Witch",2000,0.5386,painted,mid,photo
447409,"Stageghost",2000,0.1095,photo,photo_hi,painted
449931,"Let Us Go and Burn Her Body; Or, The Devil Done Let Out",2006,0.3838,photo,mid,photo
456862,"Garden Party Massacre",2017,0.3715,photo,mid,photo
458713,"28 Weeks Later: 28 Seconds Later",2007,0.4119,photo,mid,photo
480410,"The Sandman",2017,0.063,photo,photo_hi,painted
480525,"Drive-In Splatter House",2017,0.8092,painted,painted_hi,photo
489108,"Dracula in a Women's Prison",2017,0.4974,photo,mid,composite
498702,"Strike!",1961,0.1144,photo,photo_hi,photo
503030,"South Mill District",2018,0.7583,painted,painted_hi,painted
508404,"Party Bus To Hell",2018,0.129,photo,photo_hi,painted
509624,"The Lotus",2018,0.533,painted,mid,photo
517662,"Sex Madness Revealed",2018,0.5164,painted,mid,painted
518762,"The Babysitter",2016,0.3655,photo,mid,painted
520023,"Bodies Bodies Bodies",2022,0.1614,photo,photo_hi,photo
522438,"6-Headed Shark Attack",2018,0.5968,painted,mid,composite
522681,"Escape Room",2019,0.2428,photo,photo_hi,photo
525912,"Dark Flower",2011,0.6358,painted,mid,composite
528665,"Covadonga",2018,0.944,painted,painted_hi,painted
531208,"Triassic World",2018,0.7859,painted,painted_hi,painted
532875,"Single AF",2018,0.7586,painted,painted_hi,composite
541062,"Fear The Forest",2009,0.3948,photo,mid,painted
574059,"Halloween '87",1987,0.5539,painted,mid,painted
576510,"Amazing Stories",1986,0.4541,photo,mid,composite
582292,"13 Fanboy",2021,0.6044,painted,mid,composite
586779,"The Gravedigger",2009,0.7509,painted,painted_hi,painted
588781,"Terror en los barrios",1983,0.8985,painted,painted_hi,painted
592276,"Hitokowa 2: Deadly Hauntings",2013,0.476,photo,mid,photo
597185,"Killing Poe",2016,0.5087,painted,mid,photo
609616,"American Freakshow",2015,0.3779,photo,mid,composite
614196,"Death of a Vlogger",2019,0.7336,painted,painted_hi,composite
626018,"Daughter of Dismay",2019,0.3527,photo,mid,photo
635688,"Penance",2019,0.8889,painted,painted_hi,composite
638635,"It Came from Trafalgar",2009,0.9637,painted,painted_hi,painted
645454,"I Scream on the Beach!",2020,0.4857,photo,mid,painted
646977,"End Zone 2",1970,0.3634,photo,mid,photo
652522,"Children of the Full Moon",1980,0.3585,photo,mid,painted
653643,"Scare Me",2020,0.7264,painted,painted_hi,composite
654798,"Scarecrow's Revenge",2019,0.361,photo,mid,painted
673933,"The Jelly Wrestler",2013,0.544,painted,mid,photo
675526,"The Quiet",2013,0.0329,photo,photo_hi,composite
678790,"Acid Babylon",2020,0.8107,painted,painted_hi,painted
682662,"Hiker",2015,0.4969,photo,mid,photo
704179,"Invasion of the Aluminum People",1980,0.7117,painted,painted_hi,painted
716819,"Spare Parts",2020,0.4229,photo,mid,photo
716822,"The Devil's Camera",2018,0.1888,photo,photo_hi,photo
725640,"Pestilence In Silence",2020,0.0629,photo,photo_hi,painted
727574,"Tales of the Supernatural",1970,0.1447,photo,photo_hi,composite
733528,"The Frightened President",2020,0.5799,painted,mid,painted
737859,"Into the Haunt",2020,0.3502,photo,mid,photo
746132,"Halloween Hero",2020,0.5237,painted,mid,photo
752819,"Blood Bath",1969,0.0194,photo,photo_hi,painted
752968,"Life's A Bitch and then One Kills You",2019,0.3625,photo,mid,photo
756439,"New Not Normal",2020,0.3798,photo,mid,photo
756999,"The Black Phone",2022,0.0501,photo,photo_hi,photo
758724,"The Cellar",2022,0.0366,photo,photo_hi,photo
759957,"Mistress of Bones",2020,0.5175,painted,mid,painted
760512,"Solstice",2020,0.5068,painted,mid,painted
777739,"Vampire City 2: Rock 'N Roll Zombies from Outer Space",2009,0.488,photo,mid,photo
781334,"Not for the Faint of Heart",2021,0.4365,photo,mid,composite
787935,"Crafts + Stuff",2020,0.4855,photo,mid,photo
800098,"Rear Window",2020,0.8653,painted,painted_hi,painted
810062,"Sweetie",2017,0.0345,photo,photo_hi,photo
831410,"Bring It On: Cheer or Die",2022,0.4148,photo,mid,photo
844775,"Hatched",2021,0.6309,painted,mid,painted
853500,"As It Fades",2021,0.0999,photo,photo_hi,painted
857797,"Able Bodies",2022,0.9811,painted,painted_hi,photo
859992,"Thirty Dangerous Seconds",1973,0.9434,painted,painted_hi,painted
875429,"Seepers: A Love Story",2021,0.5058,painted,mid,painted
880572,"ZTV: Sympathy for the Devil",2021,0.3686,photo,mid,painted
891996,"In Search of Darkness: Part III",2022,0.1034,photo,photo_hi,painted
898555,"Machine Learning",2021,0.8266,painted,painted_hi,painted
917990,"Tales from the Other Side",2022,0.4568,photo,mid,composite
923238,"Blood Trim: The Bleeding",2004,0.582,painted,mid,composite
928133,"The Bandaged Man",2019,0.9043,painted,painted_hi,painted
934553,"The Human Zoo",2020,0.2141,photo,photo_hi,photo
957584,"Lost At Dusk",2020,0.7615,painted,painted_hi,photo
959307,"The Woods: Man's Natural Enemy",2022,0.35,photo,mid,photo
973197,"Facez of Death 2000 Part IV",2000,0.114,photo,photo_hi,painted
982543,"V for Vengeance",2022,0.5298,painted,mid,photo
983421,"The Darkening",2012,0.3823,photo,mid,photo
993119,"Rotten Shadows",2022,0.7419,painted,painted_hi,painted
1004862,"Mutilation Massacre",2017,0.5248,painted,mid,painted
1006932,"All You Can Eat",2022,0.5528,painted,mid,painted
1013699,"The Shining Pyramid",1979,0.996,painted,painted_hi,painted
1015482,"Kiss of the Serpent",1988,0.5137,painted,mid,painted
1019846,"SEQUENCE CANCELLED",2020,0.0558,photo,photo_hi,composite
1021456,"Liza: Warden from Hell",2022,0.3957,photo,mid,painted
1026772,"The Dead Sleep Soundly",2021,0.4386,photo,mid,photo